X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
6,3,88.6,69.7,706.8,5.8,20.6,37,1.8,0,0
8,6,91.7,33.3,77.5,9,8.3,97,4,0.2,0
7,4,91.6,181.3,613,7.6,19.3,61,4.9,0,0
7,4,93.7,101.3,423.4,14.7,18.2,82,4.5,0,2.21
7,5,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0
8,6,92.1,207,672.6,8.2,21.1,54,2.2,0,0
5,5,94,47.9,100.7,10.7,17.3,80,4.5,0,0
7,4,92.4,117.9,668,12.2,19,34,5.8,0,0
2,3,91.6,108.4,764,6.2,18,51,5.4,0,0
4,5,91.1,132.3,812.1,12.5,16.4,27,3.6,0,0
1,3,87.6,52.2,103.8,5,8.3,72,3.1,0,0
6,3,91.5,130.1,807.1,7.5,20.6,37,1.8,0,0
6,3,92.7,164.1,575.8,8.9,26.3,39,3.1,0,7.02
5,4,90.3,290,855.3,7.4,16.2,58,3.6,0,0
3,4,91.6,248.4,753.8,6.3,16.8,56,3.1,0,0
3,4,93,75.3,466.6,7.7,19.6,36,3.1,0,0
2,2,92.5,121.1,674.4,8.6,18.2,46,1.8,0,200.94
6,5,92.8,119,783.5,7.5,16.8,28,4,0,1.01
8,6,89.3,51.3,102.2,9.6,11.5,39,5.8,0,7.19
2,4,63.5,70.8,665.3,0.8,22.6,38,3.6,0,11.32
1,2,92.9,137,706.4,9.2,25.4,27,2.2,0,0
2,5,90.2,99.6,631.2,6.3,19.2,44,2.7,0,4.69
7,5,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82
8,6,90.2,99.6,631.2,6.3,16.2,59,3.1,0,32.07
6,5,85.4,25.4,349.7,2.6,5.1,24,8.5,0,24.77
6,5,90.2,96.9,624.2,8.9,14.7,59,5.8,0,0
9,9,84.2,6.8,26.6,7.7,6.7,79,3.1,0,0
3,6,91.1,94.1,232.1,7.1,19.2,38,4.5,0,0
3,4,96.1,181.1,671.2,14.3,32.3,27,2.2,0,14.68
2,2,84,9.3,34,2.1,13.9,40,5.4,0,0
9,9,90.1,68.6,355.2,7.2,24.8,29,2.2,0,1.36
3,4,85.4,25.4,349.7,2.6,4.6,21,8.5,0,10.73
4,4,96.1,181.1,671.2,14.3,20.7,69,4.9,0.4,0
3,4,91.7,35.8,80.8,7.8,15.2,27,4.9,0,0
2,4,92.5,121.1,674.4,8.6,24.1,29,4.5,0,0
3,4,91,129.5,692.6,7,13.9,59,6.3,0,11.24
4,6,89.3,51.3,102.2,9.6,10.6,46,4.9,0,0
3,3,92.2,102.3,751.5,8.4,24.2,27,3.1,0,6.58
4,5,96.2,175.5,661.8,16.8,32.6,26,3.1,0,2.77
6,5,92,203.2,664.5,8.1,19.1,70,2.2,0,0
6,5,91,166.9,752.6,7.1,18.2,62,5.4,0,0.43
1,3,91.2,94.3,744.4,8.4,22.3,48,4,0,0.72
3,4,88.1,25.7,67.6,3.8,15.8,27,7.6,0,0
4,5,91.4,30.7,74.3,7.5,18.2,29,3.1,0,0
1,4,90.6,269.8,811.2,5.5,22.2,45,3.6,0,0
6,5,88.1,53.3,726.9,5.4,13.7,56,1.8,0,4.42
2,4,87.9,84.8,725.1,3.7,21.8,34,2.2,0,6.04
8,3,84.4,73.4,671.9,3.2,24.2,28,3.6,0,0.96
5,6,91.6,181.3,613,7.6,24.3,33,3.6,0,3.63
2,5,90.9,126.5,686.5,7,21.9,39,1.8,0,0.47
9,4,91.6,104.2,474.9,9,25.3,39,0.9,0,8
6,4,89.2,27.9,70.8,6.3,15.9,35,4,0,0
1,2,92.9,137,706.4,9.2,21.5,15,0.9,0,0
1,4,92.2,102.3,751.5,8.4,24.2,27,3.1,0,0
4,4,90.1,82.9,735.7,6.2,12.9,74,4.9,0,0
7,4,91.9,109.2,565.5,8,21.4,38,2.7,0,1.52
4,4,92.4,96.2,739.4,8.6,19.2,24,4.9,0,3.78
8,6,91.7,35.8,80.8,7.8,17.4,24,5.4,0,0
8,6,89.4,253.6,768.4,9.7,14.2,73,2.7,0,0
4,4,85.4,25.4,349.7,2.6,4.6,21,8.5,0,22.03
7,4,91.8,170.9,692.3,13.7,23.7,40,1.8,0,1.38
6,5,91.9,111.7,770.3,6.5,19.6,45,3.1,0,20.03
1,2,91,163.2,744.4,10.1,26.7,35,1.8,0,5.8
7,4,81.6,56.7,665.6,1.9,21.2,70,6.7,0,11.16
3,4,90.5,96.7,750.5,11.4,20.6,55,5.4,0,24.59
6,5,92.5,121.1,674.4,8.6,25.1,27,4,0,1090.84
7,4,91.6,108.4,764,6.2,19.3,44,2.2,0,0
8,6,96.1,181.1,671.2,14.3,21.6,65,4.9,0.8,0
7,3,87.6,52.2,103.8,5,11,46,5.8,0,27.35
4,5,94.3,85.1,692.3,15.9,17.7,37,3.6,0,0
7,4,89.6,84.1,714.3,5.7,17.1,53,5.4,0,0.41
6,5,90.3,290,855.3,7.4,10.3,78,4,0,18.3
2,2,91.5,130.1,807.1,7.5,16.8,43,3.1,0,5.83
8,5,93.1,157.3,666.7,13.5,26.8,25,3.1,0,0.68
7,4,90.7,44,92.4,5.5,11.5,60,4,0,8.24
8,6,93.7,231.1,715.1,8.4,26.9,31,3.6,0,4.96
2,2,92.1,111.2,654.1,9.6,18.4,45,3.6,0,1.63
6,3,93.5,149.3,728.6,8.1,22.8,39,3.6,0,0
9,9,94.8,227,706.7,12,25,36,4,0,0
8,6,92.1,152.6,658.2,14.3,20.1,58,4.5,0,9.27
7,5,92.8,73.2,713,22.6,19.3,38,4,0,0
7,4,84.6,3.2,43.6,3.3,8.2,53,9.4,0,4.62
9,4,92.3,92.1,442.1,9.8,22.8,27,4.5,0,1.63
6,5,92.2,102.3,751.5,8.4,21.2,32,2.2,0,0
6,3,92.5,122,789.7,10.2,19.7,39,2.7,0,0
5,4,91,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17
1,4,91,276.3,825.1,7.1,14.5,76,7.6,0,3.71
4,5,91.6,100.2,466.3,6.3,22.9,40,1.3,0,2.64
8,6,92.2,81.8,480.8,11.9,16.4,43,4,0,71.3
5,4,91.8,175.1,700.7,13.8,25.7,39,5.4,0,0.09
2,5,93.9,169.7,411.8,12.3,23.4,40,6.3,0,0
4,4,91.2,124.4,795.3,8.5,17.1,41,2.2,0,11.22
4,4,87.2,23.9,64.7,4.1,11.8,35,1.8,0,0
2,5,93.9,135.7,586.7,15.1,23.5,36,5.4,0,10.02
3,4,93.4,17.3,28.3,9.9,8.9,35,8,0,0
1,3,92.4,124.1,680.7,8.5,23.9,32,6.7,0,5.33
7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,0,0
3,6,91.1,94.1,232.1,7.1,19.2,38,4.5,0,0
6,5,93.1,157.3,666.7,13.5,22.1,37,3.6,0,0.21
