fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.2,0.64,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12,5
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6
6,0.54,0.06,1.8,0.05,38,89,0.99236,3.3,0.5,10.55,6
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,7
8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,6
7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,6
8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5
7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5
6.9,0.48,0.2,1.9,0.082,9,23,0.99585,3.39,0.43,9.05,4
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6
6.1,0.715,0.1,2.6,0.053,13,27,0.99362,3.57,0.5,11.9,5
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,6
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,5
7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,6
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5
8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4
8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,6
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5
7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,5
10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7
11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6
6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5
8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,6
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4
7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4
7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5
9.8,0.25,0.49,2.7,0.088,15,33,0.9982,3.42,0.9,10,6
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,4
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,6
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6
10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,5
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,5
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6
7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5
7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5
7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
9.4,0.685,0.11,2.7,0.077,6,31,0.9984,3.19,0.7,10.1,6
8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7
9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6
6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6
6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,6
9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7
9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5
8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,5
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5
7.7,0.51,0.28,2.1,0.087,23,54,0.998,3.42,0.74,9.2,5
9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5
9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,5
9.2,0.43,0.52,2.3,0.083,14,23,0.9976,3.35,0.61,11.3,6
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6
8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5
7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6
6.9,0.63,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,6
7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7
7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,6
7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5
7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,6
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
9.2,0.41,0.5,2.5,0.055,12,25,0.9952,3.34,0.79,13.3,7
9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6
8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,7
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6
7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,7
7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7
9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
11.9,0.695,0.53,3.4,0.128,7,21,0.9992,3.17,0.84,12.2,7
14,0.41,0.63,3.8,0.089,6,47,1.0014,3.01,0.81,10.8,6
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,6
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,6
7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,5
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,7
9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6
7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,7
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6
7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,6
7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,6
7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,5
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5
7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,5
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,6
8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5
7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,6
6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,6
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,6
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6
8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5
8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,6
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4
5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5
8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5
8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,6
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5
7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7
8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7
5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,6
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.56666667,7
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
