fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6,0.26,0.24,1.3,0.053,66,150,0.9924,3.21,0.62,10.4,6
5.7,0.28,0.36,1.8,0.041,38,90,0.99002,3.27,0.98,11.9,7
7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5
6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4,5
6.3,0.21,0.28,1.5,0.051,46,142,0.9928,3.23,0.42,10.1,6
7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
6.6,0.37,0.24,2,0.064,23,120,0.9946,3.32,0.54,9.4,5
6.7,0.27,0.25,8,0.053,54,202,0.9961,3.22,0.43,9.3,5
5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,6
9.6,0.29,0.46,1.45,0.039,77.5,223,0.9944,2.92,0.46,9.5,6
6.5,0.16,0.33,4.8,0.043,45,114,0.992,3.18,0.44,11.2,6
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6
7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,8
7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,6
7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5
9.1,0.33,0.38,1.7,0.062,50.5,344,0.9958,3.1,0.7,9.5,5
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6
8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,6
6.6,0.23,0.3,4.6,0.06,29,154,0.99142,3.23,0.49,12.2,8
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,7
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
7.2,0.21,0.34,1.1,0.046,25,80,0.992,3.25,0.4,11.3,6
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,6
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5
4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7
7.3,0.28,0.36,12.7,0.04,38,140,0.998,3.3,0.79,9.6,6
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7
5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5
6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5,7
6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,6
7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6
6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6
6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8
8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6
9,0.27,0.35,4.9,0.028,27,95,0.9932,3.04,0.4,11.3,6
6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,5
6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6
6.1,0.28,0.26,1.5,0.03,25,101,0.98894,3.03,0.41,12.1,6
8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,6
8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,6
7.6,0.27,0.42,2.6,0.044,29,110,0.9912,3.31,0.51,12.7,6
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6
7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,6
5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8
7.2,0.26,0.26,12.7,0.036,49,214,0.9986,3.41,0.5,10,6
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7
6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,6
7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,6
7,0.28,0.33,14.6,0.043,47,168,0.9994,3.34,0.67,8.8,6
7.3,0.26,0.53,12.7,0.047,60.5,156,0.9984,3.06,0.45,9.1,6
6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6
8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4
7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,5
6.9,0.56,0.26,10.9,0.06,55,193,0.9969,3.21,0.44,9.4,5
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
7,0.17,0.37,1.5,0.028,26,75,0.9922,3.3,0.46,10.8,7
8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6
6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,6
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4,6
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5
6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,6
6,0.33,0.26,5.1,0.051,16,119,0.99416,3.15,0.41,9.2,5
7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7
7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6
7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7
8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7
7.1,0.35,0.24,15.4,0.055,46,198,0.9988,3.12,0.49,8.8,5
6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9,7
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6
6.3,0.34,0.29,6.2,0.046,29,227,0.9952,3.29,0.53,10.1,6
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
5.8,0.23,0.31,4.5,0.046,42,124,0.99324,3.31,0.64,10.8,6
6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
8,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10,5
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
6.2,0.355,0.35,2,0.046,31,95,0.98822,3.06,0.46,13.6,6
5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,6
7.5,0.21,0.34,1.2,0.06,26,111,0.9931,3.51,0.47,10.7,6
6.1,0.24,0.25,1.6,0.044,24,115,0.9921,3.39,0.59,10.9,6
7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,6
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,6
6.5,0.36,0.32,1.1,0.031,13,66,0.9916,3.1,0.46,10.6,5
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6
9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,6
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
6.8,0.26,0.34,13.9,0.034,39,134,0.9949,3.33,0.53,12,6
6.1,0.22,0.38,2.8,0.144,12,65,0.9908,2.95,0.64,11.4,6
6.1,0.22,0.4,1.85,0.031,25,111,0.98966,3.03,0.3,11.8,7
6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,7
8.3,0.22,0.34,1.1,0.043,20,116,0.9927,3,0.47,10.2,6
7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,7
7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,5
7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5
9,0.24,0.5,1.2,0.048,26,107,0.9918,3.21,0.34,12.4,6
7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
7,0.21,0.42,5.3,0.037,36,123,0.99321,3.14,0.52,10.9,6
7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,7
5.8,0.32,0.38,4.75,0.033,23,94,0.991,3.42,0.42,11.8,7
6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,5
6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,7
6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,5
7.6,0.29,0.26,6.5,0.042,32,160,0.9944,3.14,0.47,10.7,5
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5
6.5,0.3,0.29,2.25,0.037,8,210,0.9937,3.19,0.62,9.9,5
6.1,0.27,0.31,3.9,0.034,42,137,0.99218,3.24,0.46,10.9,6
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
7.3,0.22,0.37,15.5,0.048,70,203,0.99899,3.25,0.77,9.4,5
6.6,0.31,0.49,7.7,0.05,52,220,0.9964,3.12,0.45,8.8,5
5.7,0.25,0.22,9.8,0.049,50,125,0.99571,3.2,0.45,10.1,6
5.9,0.3,0.29,1.1,0.036,23,56,0.9904,3.19,0.38,11.3,5
6.8,0.23,0.32,8.6,0.046,47,159,0.99452,3.08,0.52,10.5,6
7,0.31,0.31,9.1,0.036,45,140,0.99216,2.98,0.31,12,7
6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,6
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
5.7,0.44,0.13,7,0.025,28,173,0.9913,3.33,0.48,12.5,6
8,0.28,0.42,7.1,0.045,41,169,0.9959,3.17,0.43,10.6,5
6.8,0.27,0.26,16.1,0.049,55,196,0.9984,3.15,0.5,9.3,5
6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
6.4,0.4,0.25,4.2,0.032,15,91,0.98988,3.26,0.52,13.1,6
8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,6
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6
6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
5.8,0.18,0.37,1.2,0.036,19,74,0.98853,3.09,0.49,12.7,7
6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,6
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6
6.8,0.22,0.3,10.6,0.07,67,194,0.99654,2.89,0.42,9,6
7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7
6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,6
6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,6
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,7
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7
7.9,0.17,0.32,1.6,0.053,47,150,0.9948,3.29,0.76,9.6,6
8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,7
8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5
7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9,5
5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,6
6.6,0.25,0.25,1.3,0.04,28,85,0.98984,2.87,0.48,11.2,6
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,5
6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5
7.3,0.36,0.62,7.1,0.033,48,185,0.99472,3.14,0.62,10.6,6
5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,6
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4
6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,6
7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,5
5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6
6.3,0.26,0.25,7.8,0.058,44,166,0.9961,3.24,0.41,9,5
6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7
6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10,5
6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5
6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8
6.1,0.31,0.58,5,0.039,36,114,0.9909,3.3,0.6,12.3,8
7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,6
6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6
6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,6
6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5
7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6
6.6,0.26,0.21,2.9,0.026,48,126,0.99089,3.22,0.38,11.3,7
6.7,0.16,0.37,1.3,0.036,45,125,0.98964,3.19,0.51,12.4,7
6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.89333333,7
6.7,0.15,0.32,7.9,0.034,17,81,0.99512,3.29,0.31,10,6
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6
8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,6
6.6,0.38,0.29,2.9,0.035,15,101,0.98916,3.04,0.37,12.5,6
7.5,0.28,0.34,4.2,0.028,36,116,0.991,2.99,0.41,12.3,8
4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,5
7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,5
6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5
6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,5
5.9,0.435,0.16,6.4,0.031,21,134,0.99151,3.24,0.46,12.2,6
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5
6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5
6.7,0.24,0.26,5.4,0.03,15,94,0.99045,3.15,0.38,12.7,6
6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,6
6.1,0.21,0.19,1.4,0.046,51,131,0.99184,3.22,0.39,10.5,5
5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6
7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,6
6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6
6.7,0.13,0.57,6.6,0.056,60,150,0.99548,2.96,0.43,9.4,6
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7
6,0.34,0.24,5.4,0.06,23,126,0.9951,3.25,0.44,9,7
6.6,0.16,0.25,9.8,0.049,59.5,137,0.995,3.16,0.38,10,6
6.6,0.28,0.3,12.9,0.033,31,177,0.99479,3.12,0.39,11.2,6
8.1,0.27,0.33,1.3,0.045,26,100,0.99066,2.98,0.44,12.4,6
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,6
7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
6.9,0.25,0.35,9.2,0.034,42,150,0.9947,3.21,0.36,11.5,6
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,7
8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2,7
5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,6
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5
6.7,0.33,0.34,7.5,0.036,39,124,0.99123,2.99,0.32,12.4,8
7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,5
5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
9.2,0.23,0.35,10.7,0.037,34,145,0.9981,3.09,0.32,9.7,5
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
6.3,0.19,0.32,2.8,0.046,18,80,0.99043,2.92,0.47,11.05,6
7.3,0.13,0.31,2.3,0.054,22,104,0.9924,3.24,0.92,11.5,7
6,0.17,0.29,5,0.028,25,108,0.99076,3.14,0.34,12.3,6
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6
6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,5
7.6,0.36,0.49,11.3,0.046,87,221,0.9984,3.01,0.43,9.2,5
8,0.22,0.28,14,0.053,83,197,0.9981,3.14,0.45,9.8,6
6.9,0.22,0.39,6,0.035,44,141,0.99123,3.11,0.33,12.5,6
7.8,0.3,0.36,4.6,0.024,20,198,0.99222,3.06,0.66,11.9,6
4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,7
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5
6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7
6.3,0.55,0.45,13,0.047,33,182,0.9974,3.2,0.46,9.2,6
6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5
7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6
6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7
7.3,0.26,0.36,5.2,0.04,31,141,0.9931,3.16,0.59,11,6
8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6
7,0.2,0.35,8.8,0.037,31,103,0.99388,3.13,0.49,11,6
8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,7
5.8,0.315,0.19,19.4,0.031,28,106,0.99704,2.97,0.4,10.55,6
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6
6.8,0.29,0.22,3.4,0.035,40,122,0.99024,3.09,0.47,12.3,6
8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,7
6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7
7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,5
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
6.9,0.18,0.38,6.5,0.039,20,110,0.9943,3.1,0.42,10.5,5
6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
