Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,13
0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,8
0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
0.535,0.43,0.155,0.7845,0.3285,0.169,0.245,10
0.53,0.405,0.15,0.889,0.4055,0.2275,0.215,8
0.61,0.49,0.16,1.1545,0.5865,0.2385,0.2915,11
0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
0.62,0.47,0.14,1.0325,0.3605,0.224,0.36,15
0.37,0.27,0.09,0.1855,0.07,0.0425,0.065,7
0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10
0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
0.34,0.26,0.085,0.1885,0.0815,0.0335,0.06,6
0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
0.44,0.345,0.115,0.545,0.269,0.111,0.1305,6
0.63,0.485,0.185,1.167,0.548,0.2485,0.34,10
0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9
0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13
0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12
0.61,0.475,0.15,0.9665,0.4145,0.2,0.345,10
0.63,0.485,0.16,1.243,0.623,0.275,0.3,10
0.6,0.47,0.17,1.0805,0.4995,0.2245,0.3205,9
0.235,0.175,0.08,0.0645,0.0215,0.0175,0.0215,5
0.29,0.21,0.07,0.1115,0.048,0.0205,0.03,5
0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15
0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12
0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9
0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6
0.51,0.395,0.105,0.5525,0.234,0.127,0.165,8
0.27,0.195,0.07,0.106,0.0465,0.018,0.036,7
0.51,0.38,0.135,0.681,0.3435,0.142,0.17,9
0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
0.645,0.5,0.19,1.229,0.524,0.278,0.395,17
0.43,0.325,0.09,0.425,0.217,0.087,0.095,7
0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
0.255,0.185,0.065,0.074,0.0305,0.0165,0.02,4
0.625,0.505,0.175,1.15,0.5475,0.256,0.3045,11
0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14
0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
0.605,0.455,0.16,1.1035,0.421,0.3015,0.325,9
0.54,0.42,0.14,0.7265,0.3205,0.1445,0.229,9
0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15
0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,10
0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11
0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11
0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6
0.335,0.25,0.095,0.185,0.0795,0.0495,0.055,8
0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7
0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6
0.45,0.34,0.095,0.3245,0.1385,0.064,0.105,8
0.575,0.445,0.14,0.737,0.325,0.1405,0.237,10
0.7,0.545,0.185,1.6135,0.75,0.4035,0.3685,11
0.655,0.515,0.2,1.494,0.7255,0.309,0.405,12
0.645,0.525,0.17,1.37,0.6135,0.283,0.34,10
0.595,0.48,0.2,0.975,0.358,0.2035,0.34,15
0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17
0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
0.66,0.475,0.18,1.3695,0.641,0.294,0.335,6
0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18
0.53,0.43,0.135,0.6255,0.245,0.1455,0.2135,10
0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13
0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9
0.465,0.355,0.125,0.5255,0.2025,0.135,0.145,13
0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6
0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,8
0.38,0.3,0.1,0.286,0.1305,0.056,0.09,7
0.525,0.385,0.13,0.607,0.2355,0.125,0.195,8
0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,13
0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,7
0.46,0.345,0.12,0.4935,0.2435,0.1175,0.132,8
0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19
0.43,0.32,0.1,0.3465,0.1635,0.08,0.09,7
0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8
0.31,0.24,0.105,0.2885,0.118,0.065,0.083,6
0.495,0.375,0.115,0.6245,0.282,0.143,0.155,6
0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12
0.495,0.375,0.14,0.494,0.181,0.0975,0.191,8
0.48,0.355,0.115,0.5785,0.25,0.106,0.184,8
0.525,0.38,0.135,0.615,0.261,0.159,0.175,8
0.515,0.4,0.14,0.6335,0.288,0.145,0.168,9
0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,12
0.665,0.5,0.175,1.4355,0.643,0.345,0.37,9
0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14
0.55,0.465,0.18,1.2125,0.3245,0.205,0.525,27
0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16
0.65,0.52,0.175,1.2655,0.615,0.2775,0.336,9
0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
0.285,0.225,0.07,0.1005,0.0425,0.0185,0.035,7
0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3
0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,11
0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,9
0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7
0.58,0.44,0.18,0.854,0.3665,0.1635,0.245,12
0.475,0.36,0.12,0.5915,0.3245,0.11,0.127,6
0.51,0.415,0.145,0.751,0.3295,0.1835,0.203,8
0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9
0.665,0.54,0.175,1.347,0.4955,0.254,0.415,17
0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,15
0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7
0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13
0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20
0.285,0.21,0.07,0.109,0.044,0.0265,0.033,5
0.74,0.58,0.205,2.381,0.8155,0.4695,0.488,12
0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3
0.715,0.525,0.2,1.89,0.95,0.436,0.4305,10
0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14
0.48,0.365,0.13,0.5305,0.2405,0.127,0.139,8
0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9
0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12
0.515,0.395,0.165,0.7565,0.1905,0.17,0.3205,10
0.625,0.46,0.16,1.2395,0.55,0.273,0.38,14
0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9
0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6
0.625,0.49,0.165,1.1165,0.4895,0.2615,0.3325,11
0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14
0.475,0.4,0.115,0.541,0.186,0.1025,0.21,13
0.595,0.495,0.185,1.285,0.416,0.224,0.485,13
0.5,0.4,0.15,0.8085,0.273,0.112,0.295,13
0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11
0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14
0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10
0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,12
0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,4
0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10
0.525,0.43,0.15,0.7365,0.3225,0.161,0.215,11
0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7
0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
0.6,0.475,0.155,1.21,0.653,0.1695,0.3205,10
0.58,0.45,0.145,1.137,0.5585,0.22,0.29,8
0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10
0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7
0.49,0.39,0.135,0.59,0.215,0.125,0.1845,12
0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
0.47,0.385,0.13,0.587,0.264,0.117,0.174,8
0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11
0.465,0.35,0.13,0.494,0.1945,0.103,0.155,18
0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,9
0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11
0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14
0.6,0.475,0.155,1.1385,0.502,0.2295,0.31,9
0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10
0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,9
0.525,0.4,0.14,0.7205,0.3685,0.145,0.1735,8
0.7,0.6,0.23,2.003,0.8105,0.4045,0.5755,10
0.64,0.5,0.17,1.4545,0.642,0.3575,0.354,9
0.355,0.27,0.105,0.271,0.1425,0.0525,0.0735,9
0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8
0.67,0.505,0.16,1.2585,0.6255,0.311,0.308,12
0.525,0.41,0.15,0.708,0.274,0.151,0.25,12
0.62,0.465,0.145,0.911,0.375,0.2145,0.278,10
0.735,0.59,0.215,1.747,0.7275,0.403,0.557,11
0.51,0.41,0.145,0.796,0.3865,0.1815,0.1955,8
0.51,0.405,0.15,0.7035,0.347,0.134,0.1885,8
0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,12
0.65,0.495,0.16,1.3105,0.577,0.3315,0.355,9
0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6
0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16
0.65,0.515,0.16,1.1625,0.495,0.203,0.33,17
0.69,0.535,0.185,1.826,0.797,0.409,0.499,11
0.595,0.47,0.135,0.9365,0.434,0.184,0.287,10
0.465,0.35,0.115,0.421,0.1565,0.091,0.1345,9
0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185,11
0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8
0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9
0.75,0.595,0.205,2.2205,1.083,0.421,0.63,12
0.62,0.49,0.155,1.1,0.505,0.2475,0.31,9
0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8
0.47,0.355,0.125,0.499,0.21,0.0985,0.155,8
0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8
0.605,0.455,0.145,0.862,0.334,0.1985,0.3,9
0.435,0.345,0.12,0.3215,0.13,0.056,0.1185,7
0.28,0.205,0.08,0.127,0.052,0.039,0.042,9
0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7
0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,7
0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9
0.64,0.525,0.185,1.707,0.763,0.4205,0.4435,11
0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9
0.55,0.44,0.165,0.8605,0.312,0.169,0.3,17
0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11
0.61,0.475,0.14,1.133,0.5275,0.2355,0.35,11
0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10
0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8
0.645,0.52,0.175,1.636,0.779,0.342,0.432,11
0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
0.585,0.42,0.155,1.034,0.437,0.2225,0.32,11
0.335,0.26,0.085,0.192,0.097,0.03,0.054,6
0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,11
0.54,0.42,0.135,0.8075,0.3485,0.1795,0.235,11
0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10
0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
0.47,0.375,0.105,0.513,0.232,0.142,0.13,11
0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10
0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11
0.52,0.41,0.17,0.8705,0.3735,0.219,0.25,14
0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14
0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12
0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12
0.515,0.385,0.13,0.623,0.2855,0.1285,0.175,10
0.375,0.275,0.09,0.218,0.093,0.0405,0.0755,6
0.6,0.45,0.195,1.34,0.617,0.3255,0.3605,10
0.59,0.45,0.16,0.998,0.445,0.214,0.301,9
0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,11
0.72,0.55,0.18,1.52,0.637,0.325,0.435,10
0.52,0.405,0.12,0.627,0.2645,0.1415,0.181,11
0.74,0.575,0.22,2.012,0.8915,0.5265,0.471,12
0.735,0.57,0.175,1.88,0.9095,0.387,0.488,11
0.63,0.47,0.145,1.1005,0.52,0.26,0.276,9
0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9
0.67,0.51,0.155,1.278,0.5605,0.3045,0.358,11
0.475,0.365,0.115,0.499,0.232,0.0885,0.156,10
0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13
0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10
0.515,0.395,0.14,0.686,0.281,0.1255,0.22,12
0.525,0.4,0.14,0.7325,0.334,0.1575,0.17,11
0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6
0.61,0.495,0.19,1.213,0.464,0.306,0.365,15
0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14
0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,7
0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12
0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8
0.35,0.25,0.1,0.4015,0.1725,0.063,0.1255,7
0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
0.545,0.42,0.165,0.8935,0.4235,0.2195,0.228,8
0.575,0.465,0.12,1.0535,0.516,0.2185,0.235,9
0.62,0.485,0.175,1.271,0.531,0.3075,0.37,11
0.525,0.44,0.15,0.8425,0.3685,0.1985,0.24,12
0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14
0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4
0.685,0.51,0.18,1.4545,0.6315,0.3105,0.3725,9
0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9
0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
0.59,0.46,0.145,0.9015,0.419,0.1785,0.26,11
0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7
0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8
0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12
0.515,0.41,0.14,0.7355,0.3065,0.137,0.2,7
0.67,0.51,0.18,1.68,0.926,0.2975,0.3935,13
0.63,0.49,0.19,1.1775,0.4935,0.3365,0.285,11
0.585,0.42,0.145,0.6735,0.2895,0.1345,0.22,9
0.605,0.47,0.155,0.974,0.393,0.224,0.3345,9
0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13
0.3,0.23,0.075,0.127,0.052,0.03,0.0345,6
0.43,0.33,0.095,0.32,0.118,0.065,0.123,7
0.575,0.455,0.16,0.9895,0.495,0.195,0.246,9
0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10
0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10
0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11
0.72,0.525,0.18,1.445,0.631,0.3215,0.435,7
0.565,0.42,0.155,0.743,0.31,0.186,0.231,9
0.35,0.28,0.075,0.196,0.082,0.04,0.064,8
0.455,0.365,0.135,0.441,0.1515,0.1165,0.145,9
0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11
0.415,0.325,0.1,0.3335,0.1445,0.0715,0.095,7
0.575,0.44,0.16,0.9615,0.483,0.166,0.275,13
0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17
0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8
0.58,0.46,0.13,0.921,0.357,0.181,0.29,13
0.57,0.47,0.155,1.186,0.6355,0.2315,0.277,10
0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
0.465,0.355,0.11,0.474,0.23,0.1005,0.12,7
0.625,0.475,0.175,1.3405,0.656,0.283,0.337,10
0.695,0.53,0.19,1.726,0.7625,0.436,0.455,11
0.625,0.47,0.145,1.7855,0.675,0.247,0.3245,13
0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7
0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,10
0.45,0.35,0.135,0.56,0.231,0.137,0.145,13
0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5
0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,6
0.675,0.55,0.175,1.689,0.694,0.371,0.474,13
0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10
0.625,0.485,0.19,1.1745,0.4385,0.2305,0.42,17
0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
0.515,0.39,0.125,0.5705,0.238,0.1265,0.185,8
0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9
0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
0.62,0.515,0.175,1.221,0.535,0.241,0.395,13
0.76,0.575,0.19,1.829,0.7035,0.386,0.56,14
0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
0.45,0.33,0.105,0.448,0.208,0.089,0.12,9
0.565,0.455,0.15,0.8205,0.365,0.159,0.26,18
0.55,0.4,0.135,0.717,0.3315,0.1495,0.221,9
0.58,0.45,0.155,0.93,0.385,0.246,0.265,9
0.515,0.395,0.135,0.516,0.2015,0.132,0.162,9
0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18,11
0.26,0.215,0.08,0.099,0.037,0.0255,0.045,5
0.66,0.525,0.2,1.489,0.6065,0.3795,0.421,10
0.56,0.44,0.165,0.8,0.335,0.1735,0.25,12
0.35,0.275,0.065,0.205,0.0745,0.0465,0.07,10
0.465,0.34,0.11,0.346,0.1425,0.073,0.113,11
0.415,0.33,0.1,0.3905,0.1925,0.0755,0.1025,7
0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,9
0.555,0.44,0.15,0.838,0.4155,0.146,0.23,8
0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15
0.62,0.49,0.16,1.066,0.446,0.246,0.305,11
0.495,0.38,0.13,0.5125,0.2185,0.116,0.16,7
0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9
0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10
0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7
0.615,0.475,0.19,1.4335,0.7315,0.305,0.3285,9
0.585,0.485,0.15,1.079,0.4145,0.2115,0.356,11
0.605,0.485,0.165,0.9515,0.4535,0.193,0.2765,11
0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8
0.635,0.5,0.165,1.489,0.715,0.3445,0.3615,13
0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665,16
0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8
0.54,0.425,0.135,0.686,0.3475,0.1545,0.213,8
0.465,0.37,0.115,0.534,0.261,0.098,0.143,7
0.565,0.39,0.125,0.744,0.352,0.13,0.1685,11
0.575,0.48,0.15,0.8745,0.375,0.193,0.29,12
0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14
0.65,0.515,0.18,1.3315,0.5665,0.347,0.405,13
0.66,0.525,0.18,1.478,0.5815,0.381,0.372,10
0.66,0.505,0.165,1.374,0.589,0.351,0.345,10
0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11
0.48,0.39,0.125,0.6905,0.219,0.155,0.2,12
0.71,0.55,0.17,1.614,0.743,0.345,0.45,11
0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10
0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13
0.505,0.38,0.13,0.693,0.391,0.1195,0.1515,8
0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8
0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7
0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,8
0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9
0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5
0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6
0.52,0.41,0.145,0.646,0.2965,0.1595,0.165,9
0.575,0.485,0.165,1.0405,0.419,0.264,0.3,14
0.575,0.46,0.165,0.9575,0.4815,0.1945,0.236,10
0.365,0.28,0.09,0.196,0.0865,0.036,0.0605,7
0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8
0.395,0.28,0.08,0.266,0.0995,0.066,0.09,12
0.58,0.445,0.15,0.858,0.4,0.156,0.253,8
0.325,0.24,0.075,0.1525,0.072,0.0645,0.043,6
0.655,0.525,0.175,1.348,0.5855,0.2605,0.394,10
0.28,0.205,0.07,0.1015,0.041,0.03,0.03,6
0.51,0.385,0.145,0.7665,0.3985,0.14,0.1805,8
0.465,0.36,0.105,0.488,0.188,0.0845,0.19,10
0.44,0.335,0.11,0.3885,0.175,0.0835,0.111,7
0.63,0.51,0.175,1.3415,0.6575,0.262,0.375,10
0.56,0.42,0.14,0.837,0.414,0.214,0.2,8
0.665,0.535,0.19,1.496,0.5775,0.2815,0.475,17
0.595,0.465,0.15,1.1005,0.5415,0.166,0.265,8
0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20
0.48,0.36,0.125,0.542,0.2795,0.1025,0.147,7
0.295,0.22,0.085,0.1285,0.0585,0.027,0.0365,5
0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8
0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15
0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10
0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10
0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13
0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10
0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
0.585,0.465,0.145,0.9855,0.4325,0.2145,0.2845,10
0.57,0.42,0.14,0.8745,0.416,0.165,0.25,8
0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7
0.355,0.27,0.075,0.204,0.3045,0.046,0.0595,7
0.67,0.535,0.19,1.669,0.7465,0.2935,0.508,11
0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9
0.685,0.55,0.19,1.885,0.89,0.41,0.4895,10
0.655,0.455,0.17,1.275,0.583,0.303,0.333,8
0.46,0.36,0.14,0.447,0.161,0.087,0.16,9
0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,9
0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6
0.615,0.47,0.175,1.242,0.5675,0.287,0.317,11
0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,10
0.505,0.4,0.165,0.729,0.2675,0.155,0.25,9
0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11
0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,6
0.695,0.565,0.19,1.7635,0.7465,0.399,0.4975,11
0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15
0.625,0.49,0.165,1.205,0.5175,0.3105,0.3465,10
0.375,0.29,0.14,0.3,0.14,0.0625,0.0825,8
0.335,0.24,0.095,0.17,0.062,0.039,0.055,9
0.56,0.41,0.16,0.8215,0.342,0.184,0.253,9
0.44,0.365,0.11,0.4465,0.213,0.089,0.1135,9
0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10
0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9
0.58,0.465,0.15,0.9065,0.371,0.1965,0.29,8
0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,5
0.57,0.465,0.155,0.9685,0.446,0.261,0.255,9
0.535,0.42,0.125,0.764,0.312,0.1505,0.265,11
0.5,0.375,0.13,0.721,0.3055,0.1725,0.22,14
0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10
0.6,0.475,0.175,1.3445,0.549,0.2875,0.36,11
0.665,0.5,0.175,1.742,0.595,0.3025,0.725,21
0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7
0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14
0.51,0.39,0.105,0.612,0.187,0.15,0.195,13
0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,9
0.52,0.4,0.165,0.8565,0.2745,0.201,0.21,12
0.605,0.475,0.15,1.15,0.575,0.232,0.297,10
0.39,0.28,0.125,0.564,0.3035,0.0955,0.143,7
0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
