REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN,CLASS
242,183,9,0,0,1.4999999,0.9368979,2.1666667,1.798147,15.37037,12.666667,12.444445,21,-8.111111,-8.777778,16.88889,21,0.42024404,2.0758736,5
197,236,9,0,0,2.4444444,6.829628,3.3333333,7.599998,16.074074,13.111111,16.666668,18.444445,-8.888889,1.7777778,7.111111,18.555555,0.29272884,2.7898002,5
66,41,9,0,0,0.61111194,0.32773077,0.38889185,0.32773316,109.703705,95.111115,128.88889,105.111115,-43.77778,57.555557,-13.777778,128.88889,0.26204562,-2.404745,1
45,108,9,0,0.11111111,25.5,12.795401,27.277779,15.930981,49.814816,41.77778,61.11111,46.555557,-24.11111,33.88889,-9.777778,61.11111,0.35897508,-2.3604913,2
105,193,9,0,0,3.222222,1.9051597,2.8888893,2.1773255,60.11111,53.11111,75.111115,52.11111,-21,45,-24,75.111115,0.30846536,-2.047766,6
230,124,9,0,0,0.2777778,0.10740743,0.2777778,0.15185183,0.6666667,0,2,0,-2,4,-2,2,1,-2.0943952,2
39,111,9,0,0,0.72222227,0.37407416,0.8888889,0.4296295,6.037037,7,7.6666665,3.4444444,2.8888888,4.888889,-7.7777777,7.888889,0.56291884,-1.1757725,0
140,125,9,0,0,0.2777779,0.06296301,0.66666675,0.31111118,6.185185,7.3333335,7.6666665,3.5555556,3.4444444,4.4444447,-7.888889,7.7777777,0.5456349,-1.1218182,0
34,137,9,0,0,0.5000002,0.16666673,1.111111,0.47407418,5.851852,7.7777777,6.4444447,3.3333333,5.7777777,1.7777778,-7.5555553,7.7777777,0.57363313,-0.74427164,0
189,187,9,0,0,1.2222227,1.0036974,3.0555553,2.3890193,48.51852,44.11111,59.88889,41.555557,-13.222222,34.11111,-20.88889,59.88889,0.30575457,-1.9474715,6
189,141,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
37,78,9,0,0,1.0000006,0.17777735,2.5555565,2.8740728,43.814816,41.11111,51.88889,38.444443,-8.111111,24.222221,-16.11111,51.88889,0.25891644,-1.8860723,3
123,152,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
101,121,9,0.11111111,0,0.6666667,0.843274,1.5,0.88819396,3.4074075,1.1111112,6,3.1111112,-6.888889,7.7777777,-0.8888889,6,0.8435185,-2.5191648,2
226,110,9,0,0,0.33333334,0.08888887,0.49999997,0.2111111,1.6666666,0.11111111,4.4444447,0.44444445,-4.6666665,8.333333,-3.6666667,4.4444447,0.9777778,-2.1559837,2
200,215,9,0,0,1.5555559,0.95839405,4.722222,2.6450515,23.037037,17.11111,22.555555,29.444445,-17.777779,-1.4444444,19.222221,29.444445,0.42076695,2.5610487,5
205,190,9,0,0,1.2777773,0.9981452,1.6111107,1.1238158,49.48148,44.77778,60.666668,43,-14.111111,33.555557,-19.444445,60.666668,0.29078844,-1.9875989,6
231,124,9,0,0,3.4444447,14.962965,1.8333334,6.4333353,3,1.4444444,5.888889,1.6666666,-4.6666665,8.666667,-4,5.888889,0.895369,-2.118937,2
163,166,9,0,0,1.7777776,1.0962971,2.444445,1.0518519,16.962963,12.333333,16.333334,22.222221,-13.888889,-1.8888888,15.777778,22.222221,0.4462137,2.5158255,5
63,220,9,0,0,3.055556,15.2629595,3.6666667,6.0888896,8.185185,6.5555553,6.4444447,11.555555,-4.888889,-5.2222223,10.111111,11.555555,0.48671728,2.0931497,5
43,152,9,0,0,1.9444445,1.7074082,1.2222222,0.8296299,1.5185186,1,2.8888888,0.6666667,-1.5555556,4.111111,-2.5555556,2.8888888,0.64867723,-1.9332389,4
200,250,9,0,0,2.2777777,1.420746,1.4444445,1.0255988,9.222222,6.5555553,7.3333335,13.777778,-8,-5.6666665,13.666667,13.777778,0.5633903,2.1929355,5
59,99,9,0,0,0.77777785,0.8296297,0.99999994,0.3555556,2.0370371,0.11111111,5.5555553,0.44444445,-5.7777777,10.555555,-4.7777777,5.5555553,0.9861111,-2.149743,2
